Company Name,Ticker,PE (Forward),5-Day Change (%)
"Micron Technology, Inc.",MU,5.826751,-25.52
Microchip Technology Incorporated,MCHP,28.725286,-25.18
GE HealthCare Technologies Inc.,GEHC,11.572953,-25.03
"Warner Bros. Discovery, Inc.",WBD,-216.4119,-24.79
"Diamondback Energy, Inc.",FANG,8.392706,-22.84
"Marvell Technology, Inc.",MRVL,13.409801,-19.72
Baker Hughes Company,BKR,11.864475,-19.43
Lam Research Corporation,LRCX,15.110716,-18.72
"Analog Devices, Inc.",ADI,18.685692,-18.38
Arm Holdings plc,ARM,43.44531,-17.87
AppLovin Corporation,APP,23.04096,-17.21
ON Semiconductor Corporation,ON,8.926419,-17.18
QUALCOMM Incorporated,QCOM,10.410132,-17.02
"Advanced Micro Devices, Inc.",AMD,13.726036,-16.53
Starbucks Corporation,SBUX,22.61247,-16.3
Texas Instruments Incorporated,TXN,20.649958,-15.75
"The Trade Desk, Inc.",TTD,21.080946,-15.5
NXP Semiconductors N.V.,NXPI,11.2558365,-15.39
Constellation Energy Corporation,CEG,16.506073,-15.21
Apple Inc.,AAPL,22.996365,-15.19
KLA Corporation,KLAC,17.68415,-15.19
GLOBALFOUNDRIES Inc.,GFS,12.773471,-14.55
NVIDIA Corporation,NVDA,16.379747,-12.98
Broadcom Inc.,AVGO,18.644836,-12.63
Intel Corporation,INTC,17.377525,-12.59
"Applied Materials, Inc.",AMAT,12.533023,-12.52
"Meta Platforms, Inc.",META,17.421783,-12.43
"DexCom, Inc.",DXCM,24.196615,-12.39
Palantir Technologies Inc.,PLTR,105.91923,-12.31
"Fortinet, Inc.",FTNT,30.107443,-12.0
"MongoDB, Inc.",MDB,44.086235,-11.98
"Zscaler, Inc.",ZS,48.274452,-11.97
PDD Holdings Inc.,PDD,0.96342635,-11.95
"Cisco Systems, Inc.",CSCO,13.6109085,-11.62
Atlassian Corporation,TEAM,43.57892,-11.56
"Datadog, Inc.",DDOG,41.614407,-11.37
"DoorDash, Inc.",DASH,26.170965,-10.73
"Airbnb, Inc.",ABNB,21.374752,-10.71
"PayPal Holdings, Inc.",PYPL,10.370804,-10.54
Cognizant Technology Solutions Corporation,CTSH,12.850135,-10.14
Biogen Inc.,BIIB,7.814873,-10.13
"Amazon.com, Inc.",AMZN,22.556717,-10.12
"Palo Alto Networks, Inc.",PANW,42.202896,-10.0
"Marriott International, Inc.",MAR,18.7065,-9.92
CDW Corporation,CDW,13.705647,-9.84
Honeywell International Inc.,HON,16.641384,-9.8
"Regeneron Pharmaceuticals, Inc.",REGN,12.253698,-9.58
Comcast Corporation,CMCSA,7.0255055,-9.54
"Synopsys, Inc.",SNPS,22.763409,-9.5
"ANSYS, Inc.",ANSS,22.569944,-9.39
Adobe Inc.,ADBE,15.259257,-8.98
"Intuitive Surgical, Inc.",ISRG,47.66549,-8.82
"CrowdStrike Holdings, Inc.",CRWD,70.13837,-8.78
ASML Holding N.V.,ASML,21.084896,-8.61
Intuit Inc.,INTU,25.275827,-8.54
"Cadence Design Systems, Inc.",CDNS,30.01205,-8.43
"CoStar Group, Inc.",CSGP,53.992565,-8.34
"Netflix, Inc.",NFLX,28.229416,-8.22
"Charter Communications, Inc.",CHTR,7.855105,-8.21
"Roper Technologies, Inc.",ROP,25.09902,-8.1
"Old Dominion Freight Line, Inc.",ODFL,23.06795,-8.09
"Tesla, Inc.",TSLA,68.7543,-7.61
CSX Corporation,CSX,13.124131,-7.54
Cintas Corporation,CTAS,39.35015,-7.4
"Paychex, Inc.",PAYX,27.163336,-7.1
"Workday, Inc.",WDAY,21.546133,-7.02
Booking Holdings Inc.,BKNG,17.637352,-7.01
"T-Mobile US, Inc.",TMUS,19.328356,-6.97
AstraZeneca PLC,AZN,13.427609,-6.86
lululemon athletica inc.,LULU,15.74305,-6.84
PACCAR Inc,PCAR,10.800815,-6.67
Electronic Arts Inc.,EA,18.132782,-6.35
"Automatic Data Processing, Inc.",ADP,26.246294,-6.35
"IDEXX Laboratories, Inc.",IDXX,29.06179,-6.24
"Autodesk, Inc.",ADSK,22.536133,-6.22
"Take-Two Interactive Software, Inc.",TTWO,25.747154,-6.11
Linde plc,LIN,24.129004,-5.94
Alphabet Inc.,GOOGL,14.265769,-5.85
"MercadoLibre, Inc.",MELI,28.337244,-5.62
Amgen Inc.,AMGN,13.673696,-5.51
"Axon Enterprise, Inc.",AXON,68.76599,-5.48
Alphabet Inc.,GOOG,14.475444,-5.43
"American Electric Power Company, Inc.",AEP,16.596931,-4.38
"Gilead Sciences, Inc.",GILD,12.846403,-4.28
"Verisk Analytics, Inc.",VRSK,36.080254,-4.24
Microsoft Corporation,MSFT,23.967619,-4.14
Xcel Energy Inc.,XEL,16.432686,-4.1
Fastenal Company,FAST,31.555826,-4.04
"Copart, Inc.",CPRT,30.529432,-3.68
Coca-Cola Europacific Partners PLC,CCEP,18.148283,-3.56
Costco Wholesale Corporation,COST,45.701088,-3.1
"O'Reilly Automotive, Inc.",ORLY,28.035194,-2.98
Monster Beverage Corporation,MNST,28.02628,-2.46
The Kraft Heinz Company,KHC,10.580917,-2.46
"Mondelez International, Inc.",MDLZ,20.359226,-2.27
"PepsiCo, Inc.",PEP,16.651276,-2.22
Vertex Pharmaceuticals Incorporated,VRTX,23.208393,-2.1
Exelon Corporation,EXC,16.148443,-1.58
Keurig Dr Pepper Inc.,KDP,15.527195,-1.2
Strategy Incorporated,MSTR,-2669.1816,1.85
"Ross Stores, Inc.",ROST,18.224129,1.97
